Acceleration X: -2.33, Y: 4.93, Z: -8.10 m/s^2
Rotation X: -0.16, Y: -0.09, Z: 0.22 rad/s

Acceleration X: -2.18, Y: 4.31, Z: -8.13 m/s^2
Rotation X: -0.17, Y: -0.10, Z: 0.20 rad/s

Acceleration X: -2.23, Y: 4.02, Z: -8.34 m/s^2
Rotation X: -0.14, Y: -0.07, Z: 0.08 rad/s

Acceleration X: -2.09, Y: 4.30, Z: -8.34 m/s^2
Rotation X: -0.04, Y: -0.06, Z: 0.08 rad/s

Acceleration X: -2.14, Y: 4.43, Z: -8.24 m/s^2
Rotation X: 0.01, Y: -0.05, Z: 0.06 rad/s

Acceleration X: -2.23, Y: 4.77, Z: -8.20 m/s^2
Rotation X: 0.00, Y: -0.03, Z: 0.02 rad/s

Acceleration X: -2.18, Y: 4.81, Z: -8.19 m/s^2
Rotation X: -0.03, Y: -0.04, Z: 0.01 rad/s

Acceleration X: -2.20, Y: 4.67, Z: -8.12 m/s^2
Rotation X: -0.05, Y: -0.02, Z: 0.04 rad/s

Acceleration X: -2.16, Y: 4.38, Z: -8.20 m/s^2
Rotation X: -0.04, Y: -0.01, Z: -0.00 rad/s

Acceleration X: -2.23, Y: 4.46, Z: -8.32 m/s^2
Rotation X: -0.04, Y: -0.01, Z: -0.04 rad/s

Acceleration X: -2.20, Y: 4.43, Z: -8.29 m/s^2
Rotation X: -0.02, Y: 0.00, Z: -0.04 rad/s

Acceleration X: -2.15, Y: 4.64, Z: -8.24 m/s^2
Rotation X: -0.04, Y: 0.01, Z: -0.09 rad/s

Acceleration X: -2.34, Y: 4.60, Z: -8.18 m/s^2
Rotation X: -0.04, Y: 0.02, Z: -0.06 rad/s

Acceleration X: -2.26, Y: 4.62, Z: -8.28 m/s^2
Rotation X: -0.06, Y: 0.02, Z: -0.08 rad/s

Acceleration X: -2.26, Y: 4.55, Z: -8.27 m/s^2
Rotation X: -0.07, Y: 0.02, Z: -0.02 rad/s

Acceleration X: -2.23, Y: 4.42, Z: -8.29 m/s^2
Rotation X: -0.05, Y: 0.03, Z: -0.05 rad/s

Acceleration X: -2.34, Y: 4.67, Z: -8.36 m/s^2
Rotation X: -0.06, Y: 0.03, Z: -0.05 rad/s

Acceleration X: -2.34, Y: 4.62, Z: -8.28 m/s^2
Rotation X: -0.06, Y: 0.03, Z: -0.02 rad/s

Acceleration X: -2.31, Y: 4.51, Z: -8.22 m/s^2
Rotation X: -0.08, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.30, Y: 4.58, Z: -8.28 m/s^2
Rotation X: -0.05, Y: -0.00, Z: -0.02 rad/s

Acceleration X: -2.27, Y: 4.60, Z: -8.16 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.09 rad/s

Acceleration X: -2.35, Y: 4.47, Z: -8.24 m/s^2
Rotation X: -0.09, Y: -0.04, Z: 0.02 rad/s

Acceleration X: -2.36, Y: 4.40, Z: -8.19 m/s^2
Rotation X: -0.07, Y: -0.03, Z: 0.04 rad/s

Acceleration X: -2.29, Y: 4.44, Z: -8.22 m/s^2
Rotation X: -0.06, Y: -0.02, Z: -0.03 rad/s

Acceleration X: -2.26, Y: 4.49, Z: -8.31 m/s^2
Rotation X: -0.05, Y: -0.04, Z: 0.04 rad/s

Acceleration X: -2.32, Y: 4.50, Z: -8.19 m/s^2
Rotation X: -0.05, Y: -0.01, Z: -0.00 rad/s

Acceleration X: -2.22, Y: 4.53, Z: -8.26 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.30, Y: 4.61, Z: -8.26 m/s^2
Rotation X: -0.05, Y: 0.03, Z: -0.07 rad/s

Acceleration X: -2.32, Y: 4.62, Z: -8.29 m/s^2
Rotation X: -0.08, Y: -0.00, Z: 0.02 rad/s

Acceleration X: -2.45, Y: 4.52, Z: -8.23 m/s^2
Rotation X: -0.08, Y: 0.02, Z: -0.03 rad/s

Acceleration X: -2.43, Y: 4.52, Z: -8.18 m/s^2
Rotation X: -0.06, Y: 0.01, Z: -0.00 rad/s

Acceleration X: -2.26, Y: 4.57, Z: -8.15 m/s^2
Rotation X: -0.07, Y: -0.01, Z: -0.02 rad/s

Acceleration X: -2.32, Y: 4.40, Z: -8.26 m/s^2
Rotation X: -0.07, Y: -0.03, Z: 0.03 rad/s

Acceleration X: -2.22, Y: 4.27, Z: -8.21 m/s^2
Rotation X: -0.04, Y: -0.00, Z: -0.01 rad/s

Acceleration X: -2.25, Y: 4.45, Z: -8.34 m/s^2
Rotation X: -0.02, Y: -0.00, Z: -0.02 rad/s

Acceleration X: -2.52, Y: 4.63, Z: -8.24 m/s^2
Rotation X: -0.04, Y: -0.01, Z: -0.04 rad/s

Acceleration X: -2.38, Y: 4.57, Z: -8.16 m/s^2
Rotation X: -0.08, Y: -0.03, Z: -0.06 rad/s

Acceleration X: -2.39, Y: 4.53, Z: -8.21 m/s^2
Rotation X: -0.11, Y: -0.05, Z: 0.01 rad/s

Acceleration X: -2.57, Y: 4.79, Z: -8.10 m/s^2
Rotation X: -0.14, Y: -0.07, Z: -0.10 rad/s

Acceleration X: -3.01, Y: 4.93, Z: -8.01 m/s^2
Rotation X: -0.27, Y: -0.20, Z: -0.20 rad/s

Acceleration X: -3.65, Y: 5.25, Z: -8.32 m/s^2
Rotation X: -0.38, Y: -0.35, Z: -0.33 rad/s

Acceleration X: -3.84, Y: 5.39, Z: -7.60 m/s^2
Rotation X: -0.54, Y: -0.58, Z: -0.59 rad/s

Acceleration X: -4.70, Y: 5.75, Z: -7.60 m/s^2
Rotation X: -0.79, Y: -0.96, Z: -0.67 rad/s

Acceleration X: -5.24, Y: 6.63, Z: -6.97 m/s^2
Rotation X: -1.02, Y: -1.27, Z: -0.99 rad/s

Acceleration X: -6.11, Y: 6.82, Z: -6.76 m/s^2
Rotation X: -1.32, Y: -1.62, Z: -0.41 rad/s

Acceleration X: -6.88, Y: 7.40, Z: -5.79 m/s^2
Rotation X: -1.56, Y: -1.84, Z: -0.18 rad/s

